name,position,country_code,age,strength,stamina,potential
Gabriel Mendes,forward,BRA,22,68,75,88
Rafael Oliveira,midfielder,BRA,25,72,80,80
Lucas Ferreira,defender,BRA,28,74,70,76
Matheus Costa,goalkeeper,BRA,27,76,65,78
João Paulo Silva,forward,BRA,19,60,85,92
Pedro Alves,midfielder,BRA,30,70,60,72
Carlos Eduardo,defender,BRA,24,66,78,82
Anderson Lima,forward,ARG,23,71,82,87
Bruno Santos,midfielder,BRA,26,73,72,75
Felipe Rodrigues,defender,BRA,21,62,80,86
Thiago Nascimento,goalkeeper,BRA,29,78,68,80
